trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AB_TNG_CASA_0600,06:00:00,06:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_0600,06:50:00,06:52:00,KENITRA,2,0,0
AB_TNG_CASA_0600,07:17:00,07:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_0600,08:10:00,08:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_0700,07:00:00,07:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_0700,07:50:00,07:52:00,KENITRA,2,0,0
AB_TNG_CASA_0700,08:17:00,08:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_0700,09:10:00,09:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_0800,08:00:00,08:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_0800,08:50:00,08:52:00,KENITRA,2,0,0
AB_TNG_CASA_0800,09:17:00,09:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_0800,10:10:00,10:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_0900,09:00:00,09:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_0900,09:50:00,09:52:00,KENITRA,2,0,0
AB_TNG_CASA_0900,10:17:00,10:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_0900,11:10:00,11:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_1000,10:00:00,10:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_1000,10:50:00,10:52:00,KENITRA,2,0,0
AB_TNG_CASA_1000,11:17:00,11:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_1000,12:10:00,12:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_1100,11:00:00,11:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_1100,11:50:00,11:52:00,KENITRA,2,0,0
AB_TNG_CASA_1100,12:17:00,12:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_1100,13:10:00,13:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_1200,12:00:00,12:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_1200,12:50:00,12:52:00,KENITRA,2,0,0
AB_TNG_CASA_1200,13:17:00,13:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_1200,14:10:00,14:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_1300,13:00:00,13:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_1300,13:50:00,13:52:00,KENITRA,2,0,0
AB_TNG_CASA_1300,14:17:00,14:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_1300,15:10:00,15:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_1400,14:00:00,14:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_1400,14:50:00,14:52:00,KENITRA,2,0,0
AB_TNG_CASA_1400,15:17:00,15:20:00,RABAT_AGDAL,3,0,0
AB_TNG_CASA_1400,16:10:00,16:10:00,CASA_VOYAGEURS,4,0,0
AB_TNG_CASA_1500,15:00:00,15:00:00,TANGER_VILLE,1,0,0
AB_TNG_CASA_1500,15:50:00,15:52:00,KENITRA,2,0,0
